"location","sex","age","cause","metric","year","cause_outline","cause_id","parent_id","level","Parent_cause","DALYs (Disability-Adjusted Life Years)","Deaths","Incidence","Prevalence","YLDs (Years Lived with Disability)","YLLs (Years of Life Lost)"
"West Sussex","Both","All Ages","Communicable, maternal, neonatal, and
nutritional diseases","Number",1997,"A","295","294","1","All causes",15246.0103846793,777.375119049834,2569639.24312,260112.495407,5036.76122338,10209.249161296
"West Sussex","Both","All Ages","HIV/AIDS and sexually transmitted
infections","Number",1997,"A.1","955","295","2","Communicable, maternal, neonatal, and nutritional diseases",299.195186338928,4.42174807263306,52117.4721523,95913.668803,114.314805715,184.880380623451
"West Sussex","Both","All Ages","HIV/AIDS","Number",1997,"A.1.1","298","955","3","HIV/AIDS and sexually transmitted infections",177.870075472069,3.43444986597625,44.2590829132,189.706654598,21.5841018926,156.285973579463
"West Sussex","Both","All Ages","HIV/AIDS - Drug-susceptible Tuberculosis
","Number",1997,"A.1.1.1","948","298","4","HIV/AIDS",31.2932067337831,0.662487397699999,5.00583918264,2.86219291641,1.17694409801,30.1162626357707
"West Sussex","Both","All Ages","HIV/AIDS - Multidrug-resistant
Tuberculosis without extensive drug resistance","Number",1997,"A.1.1.2","949","298","4","HIV/AIDS",0.884037291527175,0.01916648053879,0.0596152859359,0.0329884002508,0.0136192653701,0.870418026157053
"West Sussex","Both","All Ages","HIV/AIDS - Extensively drug-resistant
Tuberculosis","Number",1997,"A.1.1.3","950","298","4","HIV/AIDS",0.0529025238166594,0.001159670737464,0.00106603699204,0.000575490995868,0.000237736863823,0.0526647869528361
"West Sussex","Both","All Ages","HIV/AIDS resulting in other diseases","Number",1997,"A.1.1.4","300","298","4","HIV/AIDS",145.639928922942,2.751636317,44.2590829132,186.81089779,20.3933007924,125.246628130582
"West Sussex","Both","All Ages","Sexually transmitted infections
excluding HIV","Number",1997,"A.1.2","393","955","3","HIV/AIDS and sexually transmitted infections",121.325110866858,0.987298206656802,52073.2130694,95810.2298404,92.7307038229,28.594407043988
"West Sussex","Both","All Ages","Syphilis","Number",1997,"A.1.2.1","394","393","4","Sexually transmitted infections excluding HIV",27.1751427988639,0.382774758085285,430.771502057,1504.25505325,9.29879300161,17.8763497972564
"West Sussex","Both","All Ages","Chlamydial infection","Number",1997,"A.1.2.2","395","393","4","Sexually transmitted infections excluding HIV",19.7053797930061,0.123536233351655,20420.7310666,7045.68045215,17.6653688118,2.04001098119461
"West Sussex","Both","All Ages","Gonococcal infection","Number",1997,"A.1.2.3","396","393","4","Sexually transmitted infections excluding HIV",15.837880561361,0.35499570995015,8294.21208034,2530.76356521,9.80593693775,6.03194362361203
"West Sussex","Both","All Ages","Trichomoniasis","Number",1997,"A.1.2.4","397","393","4","Sexually transmitted infections excluding HIV",13.2581149957362,NA,18329.5053159,8244.34635738,13.2581149957,NA
"West Sussex","Both","All Ages","Genital herpes","Number",1997,"A.1.2.5","398","393","4","Sexually transmitted infections excluding HIV",19.900280572727,NA,4597.99310446,79055.365585,19.9002805727,NA
"West Sussex","Both","All Ages","Other sexually transmitted infections","Number",1997,"A.1.2.6","399","393","4","Sexually transmitted infections excluding HIV",25.4483121451639,0.125991505269712,0,1005.1444251,22.8022095032,2.64610264192498
"West Sussex","Both","All Ages","Respiratory infections and tuberculosis","Number",1997,"A.2","956","295","2","Communicable, maternal, neonatal, and nutritional diseases",8497.22963171706,727.381890663862,2339268.43082,108635.420739,946.069214617,7551.16041709977
"West Sussex","Both","All Ages","Tuberculosis","Number",1997,"A.2.1","297","956","3","Respiratory infections and tuberculosis",129.333549714615,6.64909318596698,68.381128105,73785.6023798,12.5255759557,116.807973758869
"West Sussex","Both","All Ages","Latent tuberculosis infection","Number",1997,"A.2.1.1","954","297","4","Tuberculosis",0,NA,NA,73747.1327712,0,NA
"West Sussex","Both","All Ages","Drug-susceptible tuberculosis","Number",1997,"A.2.1.2","934","297","4","Tuberculosis",126.279923273979,6.48155264837321,67.720530217,38.1084427727,12.4050354395,113.874887834468
"West Sussex","Both","All Ages","Multidrug-resistant tuberculosis without
extensive drug resistance","Number",1997,"A.2.1.3","946","297","4","Tuberculosis",2.88410528972727,0.15798988761321,0.64752208983,0.354228288877,0.118224378089,2.76588091163791
"West Sussex","Both","All Ages","Extensively drug-resistant tuberculosis","Number",1997,"A.2.1.4","947","297","4","Tuberculosis",0.169521150908562,0.00955064998054989,0.0130757981703,0.00693753384555,0.00231613814545,0.167205012763113
"West Sussex","Both","All Ages","Lower respiratory infections","Number",1997,"A.2.2","322","956","3","Respiratory infections and tuberculosis",7428.36054610445,720.16206629627,11313.4061696,239.740707905,14.3300863296,7414.0304597749
"West Sussex","Both","All Ages","Upper respiratory infections","Number",1997,"A.2.3","328","956","3","Respiratory infections and tuberculosis",793.469255395588,0.378928030057194,2293032.00068,31580.5042737,779.507624462,13.9616309340367
"West Sussex","Both","All Ages","Otitis media","Number",1997,"A.2.4","329","956","3","Respiratory infections and tuberculosis",146.066280502409,0.191803151568636,34854.6428355,7330.9579327,139.70592787,6.36035263196345
"West Sussex","Both","All Ages","Enteric infections","Number",1997,"A.3","957","295","2","Communicable, maternal, neonatal, and nutritional diseases",329.789172829253,6.1845465119622,136898.284195,2180.54791675,247.595974394,82.193198435046
"West Sussex","Both","All Ages","Diarrheal diseases","Number",1997,"A.3.1","302","957","3","Enteric infections",310.377151014738,5.50911132737459,136889.164303,2211.839002,247.554155131,62.8229958839161
"West Sussex","Both","All Ages","Typhoid and paratyphoid","Number",1997,"A.3.2","958","957","3","Enteric infections",0.2654970165547,0.00664952144969919,3.25563548655,0,0.011125790848,0.254371225706725
"West Sussex","Both","All Ages","Typhoid fever","Number",1997,"A.3.2.1","319","958","4","Typhoid and paratyphoid",0.0377247050071377,0.00114333957916582,0.298307624373,0.0188914145258,0.00293776611444,0.0347869388927016
"West Sussex","Both","All Ages","Paratyphoid fever","Number",1997,"A.3.2.2","320","958","4","Typhoid and paratyphoid",0.227772311547562,0.00550618187053336,2.95732786218,0.12970091017,0.00818802473354,0.219584286814024
"West Sussex","Both","All Ages","Invasive Non-typhoidal Salmonella (iNTS)
","Number",1997,"A.3.3","959","957","3","Enteric infections",17.9750946644453,0.618099648547026,5.86425638476,0.224487498534,0.0298391448276,17.9452555196176
"West Sussex","Both","All Ages","Other intestinal infectious diseases","Number",1997,"A.3.5","321","957","3","Enteric infections",1.17143013351558,0.0506860145908928,NA,NA,0.000854327710088,1.17057580580549
"West Sussex","Both","All Ages","Neglected tropical diseases and malaria","Number",1997,"A.4","344","295","2","Communicable, maternal, neonatal, and nutritional diseases",180.07784644623,0.114080322525921,0.0102508621846,774.573841486,175.833482217,4.24436422880184
"West Sussex","Both","All Ages","Malaria","Number",1997,"A.4.1","345","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Both","All Ages","Trachoma","Number",1997,"A.4.10","356","344","3","Neglected tropical diseases and malaria",0,NA,NA,0,0,NA
"West Sussex","Both","All Ages","Dengue","Number",1997,"A.4.11","357","344","3","Neglected tropical diseases and malaria",1.89423565651019,0.0410940127118381,0,0,0,1.89423565651019
"West Sussex","Both","All Ages","Yellow fever","Number",1997,"A.4.12","358","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Both","All Ages","Rabies","Number",1997,"A.4.13","359","344","3","Neglected tropical diseases and malaria",0.441045693044341,0.00887932579016147,0.0102508621846,0.000394263930178,0.0000526469786895,0.440993046065652
"West Sussex","Both","All Ages","Intestinal nematode infections","Number",1997,"A.4.14","360","344","3","Neglected tropical diseases and malaria",0.076949637923024,0.00273003647514896,NA,0,0,0.0769496379230241
"West Sussex","Both","All Ages","Ascariasis","Number",1997,"A.4.14.1","361","360","4","Intestinal nematode infections",0.076949637923024,0.00273003647514896,NA,0,0,0.0769496379230241
"West Sussex","Both","All Ages","Trichuriasis","Number",1997,"A.4.14.2","362","360","4","Intestinal nematode infections",0,NA,NA,0,0,NA
"West Sussex","Both","All Ages","Hookworm disease","Number",1997,"A.4.14.3","363","360","4","Intestinal nematode infections",0,NA,NA,0,0,NA
"West Sussex","Both","All Ages","Food-borne trematodiases","Number",1997,"A.4.15","364","344","3","Neglected tropical diseases and malaria",0,NA,0,0,0,NA
"West Sussex","Both","All Ages","Leprosy","Number",1997,"A.4.16","405","344","3","Neglected tropical diseases and malaria",0.000292291861941101,NA,0,0.00436259456897,0.000292291861941,NA
"West Sussex","Both","All Ages","Ebola","Number",1997,"A.4.17","843","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Both","All Ages","Zika virus","Number",1997,"A.4.18","935","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Both","All Ages","Guinea worm disease","Number",1997,"A.4.19","936","344","3","Neglected tropical diseases and malaria",0,NA,0,0,0,NA
"West Sussex","Both","All Ages","Chagas disease","Number",1997,"A.4.2","346","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Both","All Ages","Other neglected tropical diseases","Number",1997,"A.4.20","365","344","3","Neglected tropical diseases and malaria",0.802526485017068,0.0170190489424826,NA,0,0.00000412244987444,0.802522362567194
"West Sussex","Both","All Ages","Leishmaniasis","Number",1997,"A.4.3","347","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Both","All Ages","Visceral leishmaniasis","Number",1997,"A.4.3.1","348","347","4","Leishmaniasis",0,0,0,0,0,0
