"location","sex","Parent_cause","year","age","cause","cause_outline","Deaths","lower","upper","level","Percent_DALYs","Percent_Deaths","Percent_YLD","Percent_YLL"
"West Sussex","Both","All Causes",2017,"All Ages","All Causes","Total",9477.74170517894,8976.92381865418,9978.14533097727,"0",1,1,1,1
"West Sussex","Both","All Causes",2017,"All Ages","Non-communicable Diseases","B",8521.78503318928,8082.22983933572,8986.39916874907,"1",0.878207174078981,0.899136376651195,0.872821223888,0.883440711780017
"West Sussex","Female","All Causes",2017,"All Ages","All Causes","Total",4988.57582173515,4622.43452715129,5363.58355094286,"0",1,1,1,1
"West Sussex","Female","All Causes",2017,"All Ages","Non-communicable Diseases","B",4492.18856964157,4159.92678846337,4835.49274148528,"1",0.890206422185585,0.90048576311656,0.882299946357,0.899392631983456
"West Sussex","Male","All Causes",2017,"All Ages","All Causes","Total",4489.16588344379,4169.32267032816,4845.40677987459,"0",1,1,1,1
"West Sussex","Male","All Causes",2017,"All Ages","Non-communicable Diseases","B",4029.5964635477,3740.35515099578,4356.07009112902,"1",0.86590261500567,0.897628712392132,0.861130232771,0.869775844280389
"West Sussex","Both","Non-communicable Diseases",2017,"All Ages","Cardiovascular Diseases","B.2",2839.86660296874,2680.34617623802,2993.96610225761,"2",0.154587093632394,0.299647123572431,0.0494784167581,0.257085972846478
"West Sussex","Both","Non-communicable Diseases",2017,"All Ages","Neoplasms","B.1",2752.40933430123,2579.18527469085,2914.67804308311,"2",0.193287436739696,0.290390276854655,0.0305312012507,0.35195740922447
"West Sussex","Female","Non-communicable Diseases",2017,"All Ages","Cardiovascular Diseases","B.2",1465.49940168828,1347.05626123475,1576.95336231771,"2",0.132429390972216,0.293791841848845,0.0445682673426,0.23505409572761
"West Sussex","Male","Non-communicable Diseases",2017,"All Ages","Neoplasms","B.1",1418.91657074623,1303.54004704725,1546.78218505351,"2",0.202347574614902,0.316059743772019,0.0332474452778,0.339466292490368
"West Sussex","Male","Non-communicable Diseases",2017,"All Ages","Cardiovascular Diseases","B.2",1374.36720128046,1272.81666801878,1494.86972704967,"2",0.177244019778942,0.306165939927812,0.0555403058984,0.275935851256888
"West Sussex","Both","Non-communicable Diseases",2017,"All Ages","Neurological Disorders","B.5",1367.75024214275,1286.5323952634,1449.89424211787,"2",0.0926156007496965,0.14431654104557,0.0886630587518,0.0965053717168117
"West Sussex","Female","Non-communicable Diseases",2017,"All Ages","Neoplasms","B.1",1333.49276355501,1225.67334410933,1453.63952755802,"2",0.18436362193903,0.26726268554716,0.0283237051754,0.366526236954706
"West Sussex","Both","Cardiovascular Diseases",2017,"All Ages","Ischemic Heart Disease","B.2.2",1291.53992837577,1213.33726274857,1375.23066117299,"3",0.0663437815460142,0.13627908243295,0.00703702563275,0.124160496992959
"West Sussex","Both","Neurological Disorders",2017,"All Ages","Alzheimer's Disease And Other Dementias","B.5.1",1146.30035758311,1074.37080829549,1220.35292164157,"3",0.0430744592194823,0.120953172277561,0.0170631733709,0.0684502285399725
"West Sussex","Female","Non-communicable Diseases",2017,"All Ages","Neurological Disorders","B.5",868.065498126428,804.437195415914,936.27889961494,"2",0.111604895616418,0.174028554501315,0.104172752663,0.120313817052793
"West Sussex","Female","Neurological Disorders",2017,"All Ages","Alzheimer's Disease And Other Dementias","B.5.1",770.168501018405,711.141460816987,830.017540175436,"3",0.0536769214654461,0.154408963595795,0.0195350989722,0.0935640455560851
"West Sussex","Both","Cardiovascular Diseases",2017,"All Ages","Stroke","B.2.3",753.778840934703,697.633990792021,807.971272310018,"3",0.0391170098415606,0.0795357822940134,0.0175461931889,0.0601930732871388
"West Sussex","Male","Cardiovascular Diseases",2017,"All Ages","Ischemic Heart Disease","B.2.2",734.703288049458,673.224768931922,803.834794997862,"3",0.0891869928970478,0.163665239877717,0.00861044525065,0.154508298199082
