"location","sex","age","cause","metric","year","cause_outline","cause_id","parent_id","level","Parent_cause","DALYs (Disability-Adjusted Life Years)","Deaths","Incidence","Prevalence","YLDs (Years Lived with Disability)","YLLs (Years of Life Lost)"
"West Sussex","Female","All Ages","HIV/AIDS","Number",1997,"A.1.1","298","955","3","HIV/AIDS and sexually transmitted infections",42.3364050927359,0.773025046198703,17.7178083901,45.4526500183,4.83879962992,37.4976054628196
"West Sussex","Female","All Ages","Sexually transmitted infections
excluding HIV","Number",1997,"A.1.2","393","955","3","HIV/AIDS and sexually transmitted infections",75.7996515311184,0.79406374158173,19227.6385647,62196.6546486,57.8412461803,17.9584053507892
"West Sussex","Female","All Ages","Tuberculosis","Number",1997,"A.2.1","297","956","3","Respiratory infections and tuberculosis",58.122868332733,3.09058311229743,33.3908408803,38268.5656847,6.29438802956,51.8284803031744
"West Sussex","Female","All Ages","Lower respiratory infections","Number",1997,"A.2.2","322","956","3","Respiratory infections and tuberculosis",3982.63713609851,435.453259548459,6083.83257957,126.882222456,7.50135927492,3975.13577682359
"West Sussex","Female","All Ages","Upper respiratory infections","Number",1997,"A.2.3","328","956","3","Respiratory infections and tuberculosis",411.448217119552,0.124526096094125,1204297.37178,16580.1090411,407.71561288,3.73260423994489
"West Sussex","Female","All Ages","Otitis media","Number",1997,"A.2.4","329","956","3","Respiratory infections and tuberculosis",72.3274532068875,0.0692372681360912,18754.9887732,3749.36187258,70.3342239295,1.99322927734032
"West Sussex","Female","All Ages","Diarrheal diseases","Number",1997,"A.3.1","302","957","3","Enteric infections",166.357847812898,3.51990033662855,73187.6363855,1182.13276985,131.045686419,35.3121613943685
"West Sussex","Female","All Ages","Typhoid and paratyphoid","Number",1997,"A.3.2","958","957","3","Enteric infections",0.106658108960994,0.00300158937630962,1.81013853539,0,0.00628492066591,0.100373188295084
"West Sussex","Female","All Ages","Invasive Non-typhoidal Salmonella (iNTS)
","Number",1997,"A.3.3","959","957","3","Enteric infections",8.74546540001266,0.318754395682336,2.82251355533,0.107951813975,0.0143491659441,8.73111623406854
"West Sussex","Female","All Ages","Other intestinal infectious diseases","Number",1997,"A.3.5","321","957","3","Enteric infections",0.604062033115872,0.0310898346112581,NA,NA,0.00033751987608,0.603724513239791
"West Sussex","Female","All Ages","Malaria","Number",1997,"A.4.1","345","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Female","All Ages","Trachoma","Number",1997,"A.4.10","356","344","3","Neglected tropical diseases and malaria",0,NA,NA,0,0,NA
"West Sussex","Female","All Ages","Dengue","Number",1997,"A.4.11","357","344","3","Neglected tropical diseases and malaria",1.88337458762738,0.0405831897587598,0,0,0,1.88337458762737
"West Sussex","Female","All Ages","Yellow fever","Number",1997,"A.4.12","358","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
