"Area","Sex","1997","Change_9717","Perc_change_9717","Direction_9717","2002","2007","Change_0717","Perc_change_0717","Direction_0717","2012","Change_1217","Perc_change_1217","Direction_1217","2017"
"Cambridgeshire","Both",10.67816959,1.37424688999999,12.8696859365014,"Increase",11.00646858,11.57880926,0.473607219999991,4.0902929598824,"Increase",12.00158147,0.0508350099999859,0.423569261493218,"Increase",12.05241648
"Cambridgeshire","Female",11.65330479,1.36142584,11.6827446336791,"Increase",12.02695391,12.62800434,0.386726289999999,3.06244977106175,"Increase",12.95542241,0.0593082199999913,0.457786848804038,"Increase",13.01473063
"Cambridgeshire","Male",9.67048935999999,1.42721977000001,14.758506181739,"Increase",9.9682796,10.51620484,0.581504289999998,5.52960216016483,"Increase",11.02829911,0.0694100200000065,0.629381007059089,"Increase",11.09770913
"Devon","Both",10.63750346,1.12576781,10.5830076975599,"Increase",11.05159261,11.44383164,0.319439630000005,2.79136953468852,"Increase",11.78899132,-0.0257200499999897,-0.218170064782011,"Decrease",11.76327127
"Devon","Female",11.71158521,1.16020779000002,9.90649659458026,"Increase",12.13996228,12.54920433,0.322588670000002,2.57059062484802,"Increase",12.88538731,-0.0135943099999878,-0.105501756935452,"Decrease",12.871793
"Devon","Male",9.50435458999999,1.1314746,11.9048020492679,"Increase",9.90701608000001,10.29385647,0.341972720000001,3.32210499531087,"Increase",10.65395086,-0.0181216700000135,-0.170093425792406,"Decrease",10.63582919
"East Sussex","Both",10.65631361,1.06408093,9.98545058772912,"Increase",10.97852204,11.38007031,0.340324229999993,2.99052835992533,"Increase",11.6423912,0.0780033399999951,0.669994150342544,"Increase",11.72039454
"East Sussex","Female",11.67360717,0.997390450000012,8.54397818493675,"Increase",12.0358599,12.38278024,0.288217380000006,2.32756597802632,"Increase",12.60572482,0.0652728000000167,0.517802831110958,"Increase",12.67099762
"East Sussex","Male",9.53659108000001,1.20640860999998,12.6503128830809,"Increase",9.83079241,10.30300009,0.439999599999993,4.27059687621524,"Increase",10.62532209,0.117677599999993,1.10752030859135,"Increase",10.74299969
"England","Both",10.44260165,1.34445604999999,12.8747231299395,"Increase",10.81651661,11.28111138,0.505946319999993,4.48489783459609,"Increase",11.67676052,0.110297179999989,0.944587155068152,"Increase",11.7870577
"England","Female",11.54419019,1.27212096,11.0195772857411,"Increase",11.90904846,12.35750166,0.458809489999993,3.71280136247211,"Increase",12.69726029,0.119050860000002,0.937610612690697,"Increase",12.81631115
"England","Male",9.29613384,1.45141468000001,15.6131000798931,"Increase",9.68096145999999,10.16707697,0.580471549999999,5.70932581422169,"Increase",10.6244073,0.123141220000008,1.15904084362436,"Increase",10.74754852
"Essex","Both",10.53062597,1.1920265,11.3196167387948,"Increase",10.90092164,11.3523078,0.370344669999994,3.26228531259516,"Increase",11.71241014,0.010242329999997,0.0874485257736796,"Increase",11.72265247
"Essex","Female",11.61588499,1.11995796000001,9.64160682517233,"Increase",11.97950955,12.41084858,0.324994369999999,2.61863133616605,"Increase",12.72372232,0.0121206300000125,0.0952600952392721,"Increase",12.73584295
"Essex","Male",9.39160228,1.2889357,13.7243428924249,"Increase",9.76536109000001,10.24330517,0.437232809999998,4.26847392266063,"Increase",10.65077809,0.029759889999994,0.279415172755646,"Increase",10.68053798
"Gloucestershire","Both",10.59394361,1.15111442999999,10.8657783387993,"Increase",10.9377575,11.3881609,0.356897140000001,3.13393130931265,"Increase",11.72613795,0.0189200899999804,0.16134971361121,"Increase",11.74505804
"Gloucestershire","Female",11.67968922,1.02670531,8.7905190854042,"Increase",11.98346275,12.42332873,0.283065800000003,2.27850205168002,"Increase",12.67150132,0.0348932099999928,0.275367607348304,"Increase",12.70639453
"Gloucestershire","Male",9.45097054,1.32307731,13.9993803218437,"Increase",9.8366364,10.30682779,0.467220060000002,4.53311212256126,"Increase",10.74529159,0.0287562599999944,0.267617307163224,"Increase",10.77404785
"Hampshire","Both",10.68159989,1.54593285,14.472858615939,"Increase",11.12413077,11.6605927,0.566940040000006,4.86201734839779,"Increase",12.04341241,0.184120329999999,1.52880532304215,"Increase",12.22753274
"Hampshire","Female",11.74030453,1.43774979,12.2462733937277,"Increase",12.20022486,12.70742717,0.470627149999999,3.70355968760589,"Increase",13.02122331,0.156831010000005,1.2044260839883,"Increase",13.17805432
"Hampshire","Male",9.5760375,1.67230957000001,17.4634818420459,"Increase",9.99657990999999,10.55936843,0.688978640000002,6.52480917364867,"Increase",11.01710568,0.231241390000008,2.0989304878848,"Increase",11.24834707
