"measure","Area","Sex","age","Year","val","upper","lower"
"HALE (Healthy life expectancy)","South East England","Male","<1 year",1998,66.87040981,69.23934715,64.03157813
"HALE (Healthy life expectancy)","South East England","Female","<1 year",1998,69.25879016,72.10918461,65.95136424
"HALE (Healthy life expectancy)","South East England","Both","<1 year",1998,68.12369929,70.73239715,65.06005462
"HALE (Healthy life expectancy)","England","Male","<1 year",1998,65.78702611,68.08551605,63.04881393
"HALE (Healthy life expectancy)","England","Female","<1 year",1998,68.41004937,71.23536045,65.12756102
"HALE (Healthy life expectancy)","England","Both","<1 year",1998,67.13774705,69.68073471,64.1142444
"HALE (Healthy life expectancy)","South East England","Male","<1 year",2014,69.56536298,72.21265098,66.45912062
"HALE (Healthy life expectancy)","South East England","Female","<1 year",2014,71.02188574,74.145354,67.38228663
"HALE (Healthy life expectancy)","South East England","Both","<1 year",2014,70.32210425,73.16896065,66.94596649
"HALE (Healthy life expectancy)","England","Male","<1 year",2014,68.77478377,71.36302713,65.69720794
"HALE (Healthy life expectancy)","England","Female","<1 year",2014,70.29516255,73.3837153,66.68352872
"HALE (Healthy life expectancy)","England","Both","<1 year",2014,69.5563005,72.3675552,66.2221076
"HALE (Healthy life expectancy)","North Yorkshire","Male","<1 year",2000,67.18016353,69.56308136,64.30328021
"HALE (Healthy life expectancy)","North Yorkshire","Female","<1 year",2000,69.08388325,72.04309977,65.74829971
"HALE (Healthy life expectancy)","North Yorkshire","Both","<1 year",2000,68.18981595,70.89378902,65.00373653
"HALE (Healthy life expectancy)","Northamptonshire","Male","<1 year",2000,66.40797686,68.81102223,63.65345374
"HALE (Healthy life expectancy)","Northamptonshire","Female","<1 year",2000,68.96331678,71.9034402,65.5088389
"HALE (Healthy life expectancy)","Northamptonshire","Both","<1 year",2000,67.7018604,70.37049223,64.61111208
"HALE (Healthy life expectancy)","Warwickshire","Male","<1 year",2000,66.72556201,69.21703623,63.82361589
"HALE (Healthy life expectancy)","Warwickshire","Female","<1 year",2000,69.11102138,72.01405555,65.74343186
"HALE (Healthy life expectancy)","Warwickshire","Both","<1 year",2000,67.95095837,70.647115,64.82854584
"HALE (Healthy life expectancy)","Worcestershire","Male","<1 year",2000,66.84383673,69.25777351,64.05567857
"HALE (Healthy life expectancy)","Worcestershire","Female","<1 year",2000,68.67753524,71.51769841,65.28633284
