"Area","Sex","Year","Cause","Cause_outline","Cause_id","Level","Parent_cause","Parent_id","metric","DALYs (Disability-Adjusted Life Years)","Deaths","Incidence","Prevalence","YLDs (Years Lived with Disability)","YLLs (Years of Life Lost)"
"West Sussex","Both",1997,"Communicable, maternal, neonatal, and
nutritional diseases","A","295","1","All causes","294","Number",15246.0103846793,777.375119049834,2569639.24312,260112.495407,5036.76122338,10209.249161296
"West Sussex","Both",1997,"HIV/AIDS and sexually transmitted
infections","A.1","955","2","Communicable, maternal, neonatal, and nutritional diseases","295","Number",299.195186338928,4.42174807263306,52117.4721523,95913.668803,114.314805715,184.880380623451
"West Sussex","Both",1997,"HIV/AIDS","A.1.1","298","3","HIV/AIDS and sexually transmitted infections","955","Number",177.870075472069,3.43444986597625,44.2590829132,189.706654598,21.5841018926,156.285973579463
"West Sussex","Both",1997,"Sexually transmitted infections
excluding HIV","A.1.2","393","3","HIV/AIDS and sexually transmitted infections","955","Number",121.325110866858,0.987298206656802,52073.2130694,95810.2298404,92.7307038229,28.594407043988
"West Sussex","Both",1997,"Respiratory infections and tuberculosis","A.2","956","2","Communicable, maternal, neonatal, and nutritional diseases","295","Number",8497.22963171706,727.381890663862,2339268.43082,108635.420739,946.069214617,7551.16041709977
"West Sussex","Both",1997,"Tuberculosis","A.2.1","297","3","Respiratory infections and tuberculosis","956","Number",129.333549714615,6.64909318596698,68.381128105,73785.6023798,12.5255759557,116.807973758869
"West Sussex","Both",1997,"Lower respiratory infections","A.2.2","322","3","Respiratory infections and tuberculosis","956","Number",7428.36054610445,720.16206629627,11313.4061696,239.740707905,14.3300863296,7414.0304597749
"West Sussex","Both",1997,"Upper respiratory infections","A.2.3","328","3","Respiratory infections and tuberculosis","956","Number",793.469255395588,0.378928030057194,2293032.00068,31580.5042737,779.507624462,13.9616309340367
"West Sussex","Both",1997,"Otitis media","A.2.4","329","3","Respiratory infections and tuberculosis","956","Number",146.066280502409,0.191803151568636,34854.6428355,7330.9579327,139.70592787,6.36035263196345
"West Sussex","Both",1997,"Enteric infections","A.3","957","2","Communicable, maternal, neonatal, and nutritional diseases","295","Number",329.789172829253,6.1845465119622,136898.284195,2180.54791675,247.595974394,82.193198435046
"West Sussex","Both",1997,"Diarrheal diseases","A.3.1","302","3","Enteric infections","957","Number",310.377151014738,5.50911132737459,136889.164303,2211.839002,247.554155131,62.8229958839161
"West Sussex","Both",1997,"Typhoid and paratyphoid","A.3.2","958","3","Enteric infections","957","Number",0.2654970165547,0.00664952144969919,3.25563548655,0,0.011125790848,0.254371225706725
"West Sussex","Both",1997,"Invasive Non-typhoidal Salmonella (iNTS)
","A.3.3","959","3","Enteric infections","957","Number",17.9750946644453,0.618099648547026,5.86425638476,0.224487498534,0.0298391448276,17.9452555196176
"West Sussex","Both",1997,"Other intestinal infectious diseases","A.3.5","321","3","Enteric infections","957","Number",1.17143013351558,0.0506860145908928,0,0,0.000854327710088,1.17057580580549
"West Sussex","Both",1997,"Neglected tropical diseases and malaria","A.4","344","2","Communicable, maternal, neonatal, and nutritional diseases","295","Number",180.07784644623,0.114080322525921,0.0102508621846,774.573841486,175.833482217,4.24436422880184
"West Sussex","Both",1997,"Malaria","A.4.1","345","3","Neglected tropical diseases and malaria","344","Number",0,0,0,0,0,0
"West Sussex","Both",1997,"Trachoma","A.4.10","356","3","Neglected tropical diseases and malaria","344","Number",0,0,0,0,0,0
"West Sussex","Both",1997,"Dengue","A.4.11","357","3","Neglected tropical diseases and malaria","344","Number",1.89423565651019,0.0410940127118381,0,0,0,1.89423565651019
"West Sussex","Both",1997,"Yellow fever","A.4.12","358","3","Neglected tropical diseases and malaria","344","Number",0,0,0,0,0,0
"West Sussex","Both",1997,"Rabies","A.4.13","359","3","Neglected tropical diseases and malaria","344","Number",0.441045693044341,0.00887932579016147,0.0102508621846,0.000394263930178,0.0000526469786895,0.440993046065652
"West Sussex","Both",1997,"Intestinal nematode infections","A.4.14","360","3","Neglected tropical diseases and malaria","344","Number",0.076949637923024,0.00273003647514896,0,0,0,0.0769496379230241
"West Sussex","Both",1997,"Food-borne trematodiases","A.4.15","364","3","Neglected tropical diseases and malaria","344","Number",0,0,0,0,0,0
"West Sussex","Both",1997,"Leprosy","A.4.16","405","3","Neglected tropical diseases and malaria","344","Number",0.000292291861941101,0,0,0.00436259456897,0.000292291861941,0
"West Sussex","Both",1997,"Ebola","A.4.17","843","3","Neglected tropical diseases and malaria","344","Number",0,0,0,0,0,0
"West Sussex","Both",1997,"Zika virus","A.4.18","935","3","Neglected tropical diseases and malaria","344","Number",0,0,0,0,0,0
"West Sussex","Both",1997,"Guinea worm disease","A.4.19","936","3","Neglected tropical diseases and malaria","344","Number",0,0,0,0,0,0
