"Area","Sex","age","Year","HALE (Healthy life expectancy)","Life expectancy","Difference"
"Cambridgeshire","Both","<1 year",1990,67.23488501,77.54146134,10.30657633
"Cambridgeshire","Both","<1 year",1991,67.43638883,77.82843899,10.39205016
"Cambridgeshire","Both","<1 year",1992,67.60558678,78.07058242,10.46499564
"Cambridgeshire","Both","<1 year",1993,67.53558311,77.99267863,10.45709552
"Cambridgeshire","Both","<1 year",1994,67.72806283,78.26116018,10.53309735
"Cambridgeshire","Both","<1 year",1995,67.66316114,78.17671128,10.51355014
"Cambridgeshire","Both","<1 year",1996,67.89921999,78.49185303,10.59263304
"Cambridgeshire","Both","<1 year",1997,68.14891616,78.82708575,10.67816959
"Cambridgeshire","Both","<1 year",1998,68.25071389,78.97790629,10.7271924
"Cambridgeshire","Both","<1 year",1999,68.51481238,79.34509122,10.83027884
"Cambridgeshire","Both","<1 year",2000,68.60920882,79.48941865,10.88020983
"Cambridgeshire","Both","<1 year",2001,68.67687408,79.61175821,10.93488413
"Cambridgeshire","Both","<1 year",2002,68.7445906,79.75105918,11.00646858
"Cambridgeshire","Both","<1 year",2003,68.8407333,79.93722011,11.09648681
"Cambridgeshire","Both","<1 year",2004,69.17929309,80.43857605,11.25928296
"Cambridgeshire","Both","<1 year",2005,69.39135327,80.75041531,11.35906204
"Cambridgeshire","Both","<1 year",2006,69.515274,80.94661489,11.43134089
"Cambridgeshire","Both","<1 year",2007,69.82558071,81.40438997,11.57880926
"Cambridgeshire","Both","<1 year",2008,69.94635964,81.60313136,11.65677172
"Cambridgeshire","Both","<1 year",2009,70.14265459,81.907084,11.76442941
"Cambridgeshire","Both","<1 year",2010,70.27331881,82.10665426,11.83333545
"Cambridgeshire","Both","<1 year",2011,70.55131126,82.49903471,11.94772345
"Cambridgeshire","Both","<1 year",2012,70.67354023,82.6751217,12.00158147
"Cambridgeshire","Both","<1 year",2013,70.63870945,82.64837792,12.00966847
"Cambridgeshire","Both","<1 year",2014,70.69405378,82.74638896,12.05233518
"Cambridgeshire","Both","<1 year",2015,70.63240643,82.67303214,12.04062571
"Cambridgeshire","Both","<1 year",2016,70.55880655,82.5963922,12.03758565
"Cambridgeshire","Both","<1 year",2017,70.54352391,82.59594039,12.05241648
"Cambridgeshire","Female","<1 year",1990,68.65596095,80.13718712,11.48122617
"Cambridgeshire","Female","<1 year",1991,68.88363631,80.43932565,11.55568934
"Cambridgeshire","Female","<1 year",1992,68.99009681,80.57727759,11.58718078
"Cambridgeshire","Female","<1 year",1993,68.8287183,80.36176757,11.53304927
"Cambridgeshire","Female","<1 year",1994,68.97627337,80.56584863,11.58957526
"Cambridgeshire","Female","<1 year",1995,68.85643885,80.39634069,11.53990184
"Cambridgeshire","Female","<1 year",1996,69.04560716,80.64477017,11.59916301
"Cambridgeshire","Female","<1 year",1997,69.18945319,80.84275798,11.65330479
"Cambridgeshire","Female","<1 year",1998,69.26140316,80.96952774,11.70812458
"Cambridgeshire","Female","<1 year",1999,69.46590243,81.26168353,11.7957811
"Cambridgeshire","Female","<1 year",2000,69.62812109,81.49902252,11.87090143
"Cambridgeshire","Female","<1 year",2001,69.6908139,81.62026434,11.92945044
"Cambridgeshire","Female","<1 year",2002,69.80739204,81.83434595,12.02695391
"Cambridgeshire","Female","<1 year",2003,69.9101113,82.04315509,12.13304379
"Cambridgeshire","Female","<1 year",2004,70.22876032,82.53697801,12.30821769
"Cambridgeshire","Female","<1 year",2005,70.38350312,82.77706143,12.39355831
"Cambridgeshire","Female","<1 year",2006,70.5516591,83.0332876,12.4816285
"Cambridgeshire","Female","<1 year",2007,70.82447268,83.45247702,12.62800434
"Cambridgeshire","Female","<1 year",2008,70.878296,83.56872799,12.69043199
"Cambridgeshire","Female","<1 year",2009,71.11263513,83.92752277,12.81488764
"Cambridgeshire","Female","<1 year",2010,71.19648138,84.06499056,12.86850918
"Cambridgeshire","Female","<1 year",2011,71.37645358,84.33249766,12.95604408
"Cambridgeshire","Female","<1 year",2012,71.35231805,84.30774046,12.95542241
"Cambridgeshire","Female","<1 year",2013,71.34799813,84.32315442,12.97515629
"Cambridgeshire","Female","<1 year",2014,71.3720697,84.38273024,13.01066054
"Cambridgeshire","Female","<1 year",2015,71.27854214,84.27143487,12.99289273
"Cambridgeshire","Female","<1 year",2016,71.17104007,84.16262966,12.99158959
"Cambridgeshire","Female","<1 year",2017,71.13808673,84.15281736,13.01473063
"Cambridgeshire","Male","<1 year",1990,65.76339463,74.89910318,9.13570855
"Cambridgeshire","Male","<1 year",1991,65.93368593,75.16117398,9.22748805000001
"Cambridgeshire","Male","<1 year",1992,66.15137017,75.48305612,9.33168594999999
"Cambridgeshire","Male","<1 year",1993,66.16845064,75.5338309,9.36538025999999
"Cambridgeshire","Male","<1 year",1994,66.39869365,75.85374109,9.45504744
"Cambridgeshire","Male","<1 year",1995,66.39306167,75.85850839,9.46544672
"Cambridgeshire","Male","<1 year",1996,66.67101578,76.23119272,9.56017693999999
"Cambridgeshire","Male","<1 year",1997,67.01742903,76.68791839,9.67048935999999
"Cambridgeshire","Male","<1 year",1998,67.15189768,76.86536595,9.71346826999999
"Cambridgeshire","Male","<1 year",1999,67.47377854,77.30279423,9.82901569000001
"Cambridgeshire","Male","<1 year",2000,67.5148132,77.37528423,9.86047103
"Cambridgeshire","Male","<1 year",2001,67.5935866,77.50925156,9.91566496
"Cambridgeshire","Male","<1 year",2002,67.62413934,77.59241894,9.9682796
"Cambridgeshire","Male","<1 year",2003,67.72128289,77.76789234,10.04660945
"Cambridgeshire","Male","<1 year",2004,68.0771237,78.27345047,10.19632677
"Cambridgeshire","Male","<1 year",2005,68.34756205,78.65879661,10.31123456
"Cambridgeshire","Male","<1 year",2006,68.43360359,78.80556972,10.37196613
"Cambridgeshire","Male","<1 year",2007,68.77108057,79.28728541,10.51620484
"Cambridgeshire","Male","<1 year",2008,68.95336814,79.56102971,10.60766157
"Cambridgeshire","Male","<1 year",2009,69.1169243,79.81809494,10.70117064
"Cambridgeshire","Male","<1 year",2010,69.29423957,80.07980911,10.78556954
"Cambridgeshire","Male","<1 year",2011,69.65832882,80.58069613,10.92236731
"Cambridgeshire","Male","<1 year",2012,69.92070775,80.94900686,11.02829911
"Cambridgeshire","Male","<1 year",2013,69.86878059,80.90155368,11.03277309
"Cambridgeshire","Male","<1 year",2014,69.95974806,81.04595292,11.08620486
"Cambridgeshire","Male","<1 year",2015,69.93656919,81.0226213,11.08605211
"Cambridgeshire","Male","<1 year",2016,69.90081434,80.98636569,11.08555135
"Cambridgeshire","Male","<1 year",2017,69.91026875,81.00797788,11.09770913
"Devon","Both","<1 year",1990,67.33664163,77.58297994,10.24633831
"Devon","Both","<1 year",1991,67.56893554,77.89719746,10.32826192
"Devon","Both","<1 year",1992,67.83332275,78.24601072,10.41268797
"Devon","Both","<1 year",1993,67.90575415,78.34678076,10.44102661
"Devon","Both","<1 year",1994,68.18588117,78.72692646,10.54104529
"Devon","Both","<1 year",1995,68.15815142,78.68820282,10.5300514
"Devon","Both","<1 year",1996,68.25517224,78.82256615,10.56739391
"Devon","Both","<1 year",1997,68.43797225,79.07547571,10.63750346
"Devon","Both","<1 year",1998,68.55416957,79.25084256,10.69667299
"Devon","Both","<1 year",1999,68.7161681,79.49628478,10.78011668
"Devon","Both","<1 year",2000,68.90112946,79.77601802,10.87488856
"Devon","Both","<1 year",2001,69.10455678,80.08792714,10.98337036
"Devon","Both","<1 year",2002,69.17085545,80.22244806,11.05159261
"Devon","Both","<1 year",2003,69.29212857,80.43348105,11.14135248
"Devon","Both","<1 year",2004,69.63043614,80.92870029,11.29826415
"Devon","Both","<1 year",2005,69.732323,81.09638129,11.36405829
"Devon","Both","<1 year",2006,69.71450952,81.09791057,11.38340105
"Devon","Both","<1 year",2007,69.83627704,81.28010868,11.44383164
"Devon","Both","<1 year",2008,69.86540731,81.34364735,11.47824004
"Devon","Both","<1 year",2009,70.07741023,81.65699033,11.5795801
"Devon","Both","<1 year",2010,70.24619123,81.90571964,11.65952841
"Devon","Both","<1 year",2011,70.41914218,82.17035277,11.75121059
"Devon","Both","<1 year",2012,70.4397653,82.22875662,11.78899132
"Devon","Both","<1 year",2013,70.27570252,82.05149363,11.77579111
"Devon","Both","<1 year",2014,70.27745539,82.10882477,11.83136938
"Devon","Both","<1 year",2015,70.05352525,81.8585033,11.80497805
"Devon","Both","<1 year",2016,69.82307011,81.60140451,11.7783344
"Devon","Both","<1 year",2017,69.61800008,81.38127135,11.76327127
"Devon","Female","<1 year",1990,68.75001476,80.18267951,11.43266475
"Devon","Female","<1 year",1991,69.00600509,80.51753355,11.51152846
"Devon","Female","<1 year",1992,69.19031955,80.75221925,11.5618997
"Devon","Female","<1 year",1993,69.23910135,80.81818803,11.57908668
"Devon","Female","<1 year",1994,69.50954993,81.18061616,11.67106623
"Devon","Female","<1 year",1995,69.43562652,81.07006152,11.634435
"Devon","Female","<1 year",1996,69.52028689,81.18324708,11.66296019
"Devon","Female","<1 year",1997,69.62844292,81.34002813,11.71158521
"Devon","Female","<1 year",1998,69.7088143,81.47130756,11.76249326
"Devon","Female","<1 year",1999,69.85885055,81.7077349,11.84888435
"Devon","Female","<1 year",2000,70.07624805,82.03743428,11.96118623
"Devon","Female","<1 year",2001,70.23896989,82.30928696,12.07031707
"Devon","Female","<1 year",2002,70.26391504,82.40387732,12.13996228
"Devon","Female","<1 year",2003,70.23683273,82.4348996,12.19806687
"Devon","Female","<1 year",2004,70.5354828,82.89831803,12.36283523
"Devon","Female","<1 year",2005,70.61653659,83.04920377,12.43266718
"Devon","Female","<1 year",2006,70.73072013,83.22220709,12.49148696
"Devon","Female","<1 year",2007,70.83789863,83.38710296,12.54920433
"Devon","Female","<1 year",2008,70.83582551,83.41606857,12.58024306
"Devon","Female","<1 year",2009,71.07316532,83.77009251,12.69692719
"Devon","Female","<1 year",2010,71.13294531,83.87765366,12.74470835
"Devon","Female","<1 year",2011,71.30645216,84.15034196,12.8438898
"Devon","Female","<1 year",2012,71.32551617,84.21090348,12.88538731
"Devon","Female","<1 year",2013,71.21496202,84.10819807,12.89323605
"Devon","Female","<1 year",2014,71.23290035,84.19968735,12.966787
"Devon","Female","<1 year",2015,71.02624747,83.97312512,12.94687765
"Devon","Female","<1 year",2016,70.66699987,83.55194608,12.88494621
"Devon","Female","<1 year",2017,70.4244794,83.2962724,12.871793
"Devon","Male","<1 year",1990,65.8048438,74.81346867,9.00862487000001
"Devon","Male","<1 year",1991,66.01490196,75.10802312,9.09312116
"Devon","Male","<1 year",1992,66.35420852,75.56070908,9.20650055999999
"Devon","Male","<1 year",1993,66.45496388,75.70173552,9.24677164000001
"Devon","Male","<1 year",1994,66.74062093,76.09215415,9.35153321999999
"Devon","Male","<1 year",1995,66.76322054,76.13106674,9.36784619999999
"Devon","Male","<1 year",1996,66.8756783,76.2909072,9.4152289
"Devon","Male","<1 year",1997,67.13064477,76.63499936,9.50435458999999
"Devon","Male","<1 year",1998,67.28733636,76.86011508,9.57277872
"Devon","Male","<1 year",1999,67.46355944,77.11698871,9.65342927
"Devon","Male","<1 year",2000,67.61925968,77.35074855,9.73148887000001
"Devon","Male","<1 year",2001,67.86347363,77.70106015,9.83758652
"Devon","Male","<1 year",2002,67.98038747,77.88740355,9.90701608000001
"Devon","Male","<1 year",2003,68.2500292,78.27646406,10.02643486
"Devon","Male","<1 year",2004,68.62346869,78.79568298,10.17221429
"Devon","Male","<1 year",2005,68.75198826,78.98833656,10.2363483
"Devon","Male","<1 year",2006,68.63046033,78.85982583,10.2293655
"Devon","Male","<1 year",2007,68.77028155,79.06413802,10.29385647
"Devon","Male","<1 year",2008,68.83575273,79.16874061,10.33298788
"Devon","Male","<1 year",2009,69.02593317,79.44570946,10.41977629
"Devon","Male","<1 year",2010,69.30388708,79.83472326,10.53083618
"Devon","Male","<1 year",2011,69.47687175,80.09326848,10.61639673
"Devon","Male","<1 year",2012,69.50326421,80.15721507,10.65395086
"Devon","Male","<1 year",2013,69.29610279,79.92295159,10.6268488
"Devon","Male","<1 year",2014,69.28741094,79.9555302,10.66811926
"Devon","Male","<1 year",2015,69.05449947,79.69588638,10.64138691
"Devon","Male","<1 year",2016,68.94649762,79.59493361,10.64843599
"Devon","Male","<1 year",2017,68.78546281,79.421292,10.63582919
"East Sussex","Both","<1 year",1990,67.36767693,77.66862951,10.30095258
"East Sussex","Both","<1 year",1991,67.55602486,77.91687207,10.36084721
"East Sussex","Both","<1 year",1992,67.76515374,78.19119362,10.42603988
"East Sussex","Both","<1 year",1993,67.78659849,78.22424179,10.4376433
"East Sussex","Both","<1 year",1994,68.03852984,78.56330516,10.52477532
"East Sussex","Both","<1 year",1995,67.82408489,78.28277088,10.45868599
"East Sussex","Both","<1 year",1996,67.97404154,78.49597951,10.52193797
"East Sussex","Both","<1 year",1997,68.293657,78.94997061,10.65631361
"East Sussex","Both","<1 year",1998,68.43832971,79.17694712,10.73861741
"East Sussex","Both","<1 year",1999,68.45970515,79.24180526,10.78210011
"East Sussex","Both","<1 year",2000,68.50491885,79.32462976,10.81971091
"East Sussex","Both","<1 year",2001,68.71507274,79.63710297,10.92203023
"East Sussex","Both","<1 year",2002,68.78856822,79.76709026,10.97852204
"East Sussex","Both","<1 year",2003,68.83384661,79.86396514,11.03011853
"East Sussex","Both","<1 year",2004,69.1907849,80.37024192,11.17945702
"East Sussex","Both","<1 year",2005,69.37970465,80.64136105,11.2616564
"East Sussex","Both","<1 year",2006,69.44088575,80.73975331,11.29886756
"East Sussex","Both","<1 year",2007,69.66538329,81.0454536,11.38007031
"East Sussex","Both","<1 year",2008,69.72957969,81.14044585,11.41086616
"East Sussex","Both","<1 year",2009,69.84054028,81.30841275,11.46787247
"East Sussex","Both","<1 year",2010,69.8887651,81.38891563,11.50015053
"East Sussex","Both","<1 year",2011,70.10544201,81.70118763,11.59574562
"East Sussex","Both","<1 year",2012,70.16827017,81.81066137,11.6423912
"East Sussex","Both","<1 year",2013,70.01115285,81.6411524,11.62999955
"East Sussex","Both","<1 year",2014,70.05481334,81.74643843,11.69162509
"East Sussex","Both","<1 year",2015,70.01864633,81.74655163,11.7279053
"East Sussex","Both","<1 year",2016,69.83872574,81.56072772,11.72200198
"East Sussex","Both","<1 year",2017,69.68222595,81.40262049,11.72039454
"East Sussex","Female","<1 year",1990,68.75178276,80.15502286,11.4032401
"East Sussex","Female","<1 year",1991,68.95463545,80.40974729,11.45511184
"East Sussex","Female","<1 year",1992,69.15053178,80.65550847,11.50497669
"East Sussex","Female","<1 year",1993,69.20932426,80.7288407,11.51951644
"East Sussex","Female","<1 year",1994,69.36343535,80.93346721,11.57003186
"East Sussex","Female","<1 year",1995,69.08643515,80.55281529,11.46638014
"East Sussex","Female","<1 year",1996,69.20715829,80.72648454,11.51932625
"East Sussex","Female","<1 year",1997,69.51895168,81.19255885,11.67360717
"East Sussex","Female","<1 year",1998,69.6323306,81.39007894,11.75774834
"East Sussex","Female","<1 year",1999,69.62379949,81.4219596,11.79816011
"East Sussex","Female","<1 year",2000,69.62053209,81.44531909,11.824787
"East Sussex","Female","<1 year",2001,69.92355462,81.89965678,11.97610216
"East Sussex","Female","<1 year",2002,69.96737633,82.00323623,12.0358599
"East Sussex","Female","<1 year",2003,69.9113119,81.97234098,12.06102908
"East Sussex","Female","<1 year",2004,70.20634085,82.407576,12.20123515
"East Sussex","Female","<1 year",2005,70.30641699,82.56443073,12.25801374
"East Sussex","Female","<1 year",2006,70.43136818,82.74653723,12.31516905
"East Sussex","Female","<1 year",2007,70.62176513,83.00454537,12.38278024
"East Sussex","Female","<1 year",2008,70.62063057,83.00262283,12.38199226
"East Sussex","Female","<1 year",2009,70.74434386,83.1833988,12.43905494
"East Sussex","Female","<1 year",2010,70.75018514,83.20994343,12.45975829
"East Sussex","Female","<1 year",2011,70.98662753,83.55184973,12.5652222
"East Sussex","Female","<1 year",2012,71.02511807,83.63084289,12.60572482
"East Sussex","Female","<1 year",2013,70.90722427,83.51352521,12.60630094
"East Sussex","Female","<1 year",2014,70.88788449,83.53555918,12.64767469
"East Sussex","Female","<1 year",2015,70.83183833,83.50753968,12.67570135
"East Sussex","Female","<1 year",2016,70.61582643,83.27932564,12.66349921
"East Sussex","Female","<1 year",2017,70.44564369,83.11664131,12.67099762
"East Sussex","Male","<1 year",1990,65.74608321,74.83166875,9.08558554000001
"East Sussex","Male","<1 year",1991,65.92589099,75.08150807,9.15561708
"East Sussex","Male","<1 year",1992,66.15255553,75.38924013,9.2366846
"East Sussex","Male","<1 year",1993,66.14965481,75.39956037,9.24990556
"East Sussex","Male","<1 year",1994,66.49681124,75.86686545,9.37005421000001
"East Sussex","Male","<1 year",1995,66.36767599,75.71782134,9.35014535000001
"East Sussex","Male","<1 year",1996,66.56190633,75.98821228,9.42630595
"East Sussex","Male","<1 year",1997,66.89096013,76.42755121,9.53659108000001
"East Sussex","Male","<1 year",1998,67.07072046,76.68670408,9.61598361999999
"East Sussex","Male","<1 year",1999,67.12944791,76.79430153,9.66485362
"East Sussex","Male","<1 year",2000,67.23455783,76.952435,9.71787716999999
"East Sussex","Male","<1 year",2001,67.35897894,77.13341891,9.77443997
"East Sussex","Male","<1 year",2002,67.46905127,77.29984368,9.83079241
"East Sussex","Male","<1 year",2003,67.62133841,77.53245429,9.91111588
"East Sussex","Male","<1 year",2004,68.0398573,78.10966207,10.06980477
"East Sussex","Male","<1 year",2005,68.3225067,78.50355667,10.18104997
"East Sussex","Male","<1 year",2006,68.3310413,78.53651936,10.20547806
"East Sussex","Male","<1 year",2007,68.59579544,78.89879553,10.30300009
"East Sussex","Male","<1 year",2008,68.73379327,79.10347059,10.36967732
"East Sussex","Male","<1 year",2009,68.83870683,79.26960007,10.43089324
"East Sussex","Male","<1 year",2010,68.93763775,79.41775809,10.48012034
"East Sussex","Male","<1 year",2011,69.13718749,79.70609816,10.56891067
"East Sussex","Male","<1 year",2012,69.22800212,79.85332421,10.62532209
"East Sussex","Male","<1 year",2013,69.0411202,79.64806507,10.60694487
"East Sussex","Male","<1 year",2014,69.1535396,79.84583453,10.69229493
"East Sussex","Male","<1 year",2015,69.14398316,79.88615198,10.74216882
"East Sussex","Male","<1 year",2016,69.00728048,79.75514125,10.74786077
"East Sussex","Male","<1 year",2017,68.87420701,79.6172067,10.74299969
"England","Both","<1 year",1990,65.93941817,75.99237948,10.05296131
"England","Both","<1 year",1991,66.12454671,76.24338641,10.1188397
"England","Both","<1 year",1992,66.35959704,76.55566853,10.19607149
"England","Both","<1 year",1993,66.36475363,76.56829572,10.20354209
"England","Both","<1 year",1994,66.65175368,76.95469719,10.30294351
"England","Both","<1 year",1995,66.65933079,76.96488004,10.30554925
"England","Both","<1 year",1996,66.83111001,77.19715029,10.36604028
"England","Both","<1 year",1997,67.03275569,77.47535734,10.44260165
"England","Both","<1 year",1998,67.13774705,77.63447686,10.49672981
"England","Both","<1 year",1999,67.29194992,77.86480333,10.57285341
"England","Both","<1 year",2000,67.53094676,78.20409284,10.67314608
"England","Both","<1 year",2001,67.71607382,78.47857406,10.76250024
"England","Both","<1 year",2002,67.77383817,78.59035478,10.81651661
"England","Both","<1 year",2003,67.83395321,78.71560061,10.8816474
"England","Both","<1 year",2004,68.20454572,79.24786706,11.04332134
"England","Both","<1 year",2005,68.39297448,79.5264645,11.13349002
"England","Both","<1 year",2006,68.47803408,79.66686424,11.18883016
"England","Both","<1 year",2007,68.67977381,79.96088519,11.28111138
"England","Both","<1 year",2008,68.74956969,80.08089287,11.33132318
"England","Both","<1 year",2009,69.00249252,80.45147686,11.44898434
"England","Both","<1 year",2010,69.17431365,80.70305804,11.52874439
"England","Both","<1 year",2011,69.40845016,81.03520997,11.62675981
"England","Both","<1 year",2012,69.52057147,81.19733199,11.67676052
"England","Both","<1 year",2013,69.47660448,81.16166566,11.68506118
"England","Both","<1 year",2014,69.5563005,81.29957948,11.74327898
"England","Both","<1 year",2015,69.47667272,81.21494355,11.73827083
"England","Both","<1 year",2016,69.43583555,81.19110794,11.75527239
"England","Both","<1 year",2017,69.43711326,81.22417096,11.7870577
"England","Female","<1 year",1990,67.43775521,78.69068931,11.2529341
"England","Female","<1 year",1991,67.62180327,78.93017666,11.30837339
"England","Female","<1 year",1992,67.79235315,79.15133652,11.35898337
"England","Female","<1 year",1993,67.7920404,79.14705524,11.35501484
"England","Female","<1 year",1994,68.0570924,79.50242303,11.44533063
"England","Female","<1 year",1995,68.038652,79.46977706,11.43112506
"England","Female","<1 year",1996,68.17818183,79.65830324,11.48012141
"England","Female","<1 year",1997,68.32460433,79.86879452,11.54419019
"England","Female","<1 year",1998,68.41004937,80.00887993,11.59883056
